location,lat,long,alt,year,bloom_date,bloom_doy,Date_doy_tavg,Date_doy_tmax,Date_doy_tmin,tavg_below_5,tavg_above_10,tavg_moving,tmin_moving,tmax_moving,prcp.-2,prcp.-1,prcp.0,prcp.1,prcp.2,tavg.-2,tavg.-1,tavg.0,tavg.1,tavg.2,tmax.-2,tmax.-1,tmax.0,tmax.1,tmax.2,tmin.-2,tmin.-1,tmin.0,tmin.1,tmin.2,long.y,long.x,slope,dg2_coef,intc,tavg.3,tmin.3,tmax.3
Japan/Kagoshima,31.555,130.548055555556,3.9,1959,1959-03-30,89,18,18,24,16,56.0,0.0,-1.2857,0.0,12.0,7.0,13.0,17.0,19.0,190.90322580645162,140.73333333333332,109.06451612903226,59.45161290322581,121.10714285714286,238.1290322580645,207.73333333333332,170.3548387096774,111.93548387096774,158.60714285714286,152.93548387096774,92.46666666666667,53.774193548387096,22.677419354838708,81.17857142857143,0.7598609881574853,-0.6500855933462377,1.271246573133365,-0.06217041067207553,54.78213191420735,130.1818181818182,89.27272727272727,178.54545454545453
Japan/Kagoshima,31.555,130.548055555556,3.9,1960,1960-04-03,94,30,30,37,12,36.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,8.0,194.5483870967742,150.16666666666666,109.29032258064517,67.3225806451613,88.82758620689656,252.7741935483871,211.8,162.48387096774192,123.29032258064517,154.13793103448276,148.80645161290323,101.93333333333334,62.38709677419355,21.06451612903226,27.24137931034483,0.7598609881574853,-0.6500855933462377,2.2348432055749132,0.11090611033889534,-8.05923344947743,149.9090909090909,106.9090909090909,188.1818181818182
Japan/Kagoshima,31.555,130.548055555556,3.9,1961,1961-04-03,93,23,8,25,32,24.0,0.0,-14.2143,0.0,15.0,14.0,11.0,12.0,13.0,195.8709677419355,147.2,75.93548387096774,56.32258064516129,68.82142857142857,253.29032258064515,206.36666666666667,139.96774193548387,119.35483870967742,121.35714285714286,148.51612903225808,102.2,29.451612903225808,1.0,22.857142857142858,0.7598609881574853,-0.6500855933462377,0.9912613981762912,0.03699829145349174,33.67717831813577,114.81818181818181,53.72727272727273,179.27272727272728
Japan/Kagoshima,31.555,130.548055555556,3.9,1962,1962-04-08,98,32,32,39,25,23.0,0.0,-9.5714,0.0,8.0,13.0,13.0,16.0,13.0,221.06451612903226,155.1,86.0,50.935483870967744,78.60714285714286,276.03225806451616,206.66666666666666,151.32258064516128,104.0,136.92857142857142,177.48387096774192,114.36666666666666,35.774193548387096,11.258064516129032,25.035714285714285,0.7598609881574853,-0.6500855933462377,0.807894736842104,-0.006543252050312106,41.4127530364373,92.81818181818181,41.90909090909091,154.0
Japan/Kagoshima,31.555,130.548055555556,3.9,1963,1963-04-06,96,36,35,38,38,15.0,0.0,-10.0714,0.0,8.0,17.0,14.0,26.0,12.0,192.4516129032258,142.33333333333334,95.45161290322581,38.12903225806452,49.785714285714285,251.70967741935485,194.76666666666668,160.8709677419355,84.70967741935483,105.25,144.6451612903226,106.76666666666667,43.58064516129032,2.6451612903225805,4.0,0.7598609881574853,-0.6500855933462377,1.8649859943977596,0.0329389741154451,-28.444257703081234,103.0909090909091,50.0,154.54545454545453
Japan/Kagoshima,31.555,130.548055555556,3.9,1964,1964-04-03,94,55,55,37,12,38.0,0.0,0.0,0.0,7.0,13.0,14.0,17.0,17.0,177.3548387096774,136.2,96.6774193548387,89.96774193548387,77.86206896551724,246.19354838709677,199.76666666666668,156.7741935483871,143.96774193548387,125.55172413793103,121.7741935483871,89.93333333333334,47.903225806451616,40.38709677419355,36.55172413793103,0.7598609881574853,-0.6500855933462377,1.405882352941177,-0.7923669467786423,4.757352941176396,102.18181818181819,41.81818181818182,160.72727272727272
Japan/Kagoshima,31.555,130.548055555556,3.9,1965,1965-04-04,94,16,16,17,14,32.0,0.0,0.0,0.0,15.0,8.0,10.0,13.0,10.0,208.93548387096774,132.1,94.03225806451613,71.06183895868963,86.1926181296072,262.4193548387097,204.36666666666667,153.06451612903226,121.6774193548387,133.92857142857142,160.51612903225808,73.43333333333334,39.0,12.451612903225806,32.785714285714285,0.7598609881574853,-0.6500855933462377,0.08380178550629207,-0.016582066022528777,81.7884548462642,83.44414969767381,23.272727272727273,135.45454545454547
Japan/Kagoshima,31.555,130.548055555556,3.9,1966,1966-03-27,86,28,29,31,15,45.0,0.0,0.0,0.0,8.0,15.0,15.0,14.0,13.0,184.20576926295158,158.10273684826444,89.97573192274942,74.33528735112606,101.27161876588825,245.09677419354838,211.1,136.09677419354838,123.7741935483871,155.67857142857142,115.16129032258064,100.03333333333333,39.25806451612903,17.70967741935484,38.25,0.7598609881574853,-0.6500855933462377,2.244853223401092,-0.00959193262741394,3.0363779629486602,157.34890905157417,107.81818181818181,204.8181818181818
Japan/Kagoshima,31.555,130.548055555556,3.9,1967,1967-04-02,92,17,17,21,23,28.0,0.0,-9.2857,0.0,10.0,10.0,12.0,11.0,11.0,192.89533668958143,143.63032982307413,88.03923066898366,67.9253706714694,78.86290984007776,246.58064516129033,200.16666666666666,136.67741935483872,116.7741935483871,128.64285714285714,135.4516129032258,79.36666666666666,33.32258064516129,11.903225806451612,21.928571428571427,0.7598609881574853,-0.6500855933462377,0.34965572855774724,0.009195103379393275,67.9685000501366,93.11036791555394,26.545454545454547,149.54545454545453
Japan/Kagoshima,31.555,130.548055555556,3.9,1968,1968-04-04,95,55,55,52,25,12.0,0.0,-7.4286,0.0,11.0,13.0,19.0,11.0,9.0,193.61610696380032,157.37840782394198,71.17210639556457,70.66866084586653,55.165669887953165,242.5483870967742,204.6,117.51612903225806,116.83870967741936,102.86206896551724,143.58064516129033,108.23333333333333,19.193548387096776,18.93548387096774,0.3103448275862069,0.7598609881574853,-0.6500855933462377,2.7641476126168665,-0.8769091958201053,-85.92175284199263,97.40843763475091,24.181818181818183,158.27272727272728
Japan/Kagoshima,31.555,130.548055555556,3.9,1969,1969-04-07,97,16,16,18,10,47.0,0.0,0.0,0.0,6.0,7.0,17.0,17.0,14.0,199.23990022838356,149.62221781425094,118.26991949142838,94.56183242065877,95.85599116080141,250.58064516129033,209.5,165.32258064516128,135.5483870967742,137.39285714285714,145.74193548387098,80.46666666666667,67.48387096774194,52.03225806451613,52.535714285714285,0.7598609881574853,-0.6500855933462377,-0.7506016903934024,-0.03047498186687344,132.97195264245087,77.63225298707829,26.636363636363637,123.54545454545455
Japan/Kagoshima,31.555,130.548055555556,3.9,1970,1970-04-07,97,17,17,27,13,29.0,0.0,-2.0714,0.0,9.0,8.0,12.0,7.0,9.0,194.9198147536064,138.09260311137191,86.16745656338108,64.95703724597517,95.15163774609356,244.48387096774192,190.13333333333333,138.96774193548387,111.90322580645162,148.0,143.96774193548387,80.53333333333333,24.903225806451612,11.741935483870968,34.25,0.7598609881574853,-0.6500855933462377,0.8811209582534496,-0.030621998372351994,48.26682617736902,86.57405570571426,30.0,136.36363636363637
Japan/Kagoshima,31.555,130.548055555556,3.9,1971,1971-04-03,93,39,38,42,16,32.0,0.0,-4.2857,0.0,8.0,5.0,8.0,9.0,12.0,215.3192497693795,144.11668435094225,94.97152690077384,70.51145465994597,87.67460884573511,258.4193548387097,202.4,143.74193548387098,122.70967741935483,132.10714285714286,175.38709677419354,77.16666666666667,40.38709677419355,9.419354838709678,39.464285714285715,0.7598609881574853,-0.6500855933462377,0.8111370441812255,-0.2865032072937989,60.466005866524974,106.23470062446458,50.09090909090909,156.36363636363637
Japan/Kagoshima,31.555,130.548055555556,3.9,1972,1972-04-01,92,66,66,71,3,45.0,0.0,0.0,0.0,9.0,7.0,12.0,11.0,16.0,189.31989714381024,149.96120450136652,95.60636486420178,103.46332959800958,93.69103698345494,234.51612903225808,202.63333333333333,144.16129032258064,150.61290322580646,133.6206896551724,144.8709677419355,92.0,41.38709677419355,51.806451612903224,52.758620689655174,0.7598609881574853,-0.6500855933462377,-1.4002217009767737,0.06533325469103927,160.62218439649425,47.29055105854135,5.16816735074032,89.89138334385792
Japan/Kagoshima,31.555,130.548055555556,3.9,1973,1973-03-31,90,12,12,-8,2,45.0,0.0,0.0,0.0,11.0,14.0,11.0,12.0,14.0,190.49726055430327,145.34496539213788,98.73997609142486,94.83870967741936,102.19617185424093,242.0,189.26666666666668,148.29032258064515,137.93548387096774,144.67857142857142,136.32258064516128,100.73333333333333,43.12903225806452,52.32258064516129,54.714285714285715,0.7598609881574853,-0.6500855933462377,-0.033904186624053104,0.0033460281817639594,100.66961083664968,92.36363636363636,38.72727272727273,137.27272727272728
Japan/Kagoshima,31.555,130.548055555556,3.9,1974,1974-04-03,93,4,42,20,22,19.0,0.0,-3.7143,0.0,8.0,4.0,12.0,3.0,9.0,194.41935483870967,125.76666666666667,63.516129032258064,63.70967741935484,79.64285714285714,246.1290322580645,187.13333333333333,121.70967741935483,123.6774193548387,128.21428571428572,145.74193548387098,71.76666666666667,14.64516129032258,7.870967741935484,29.285714285714285,0.7598609881574853,-0.6500855933462377,0.846156915954984,0.020135359544452176,49.76682097533721,127.54545454545455,78.45454545454545,175.8181818181818
Japan/Kagoshima,31.555,130.548055555556,3.9,1975,1975-04-10,100,54,54,55,15,38.0,0.0,0.0,0.0,12.0,9.0,11.0,14.0,12.0,203.8709677419355,143.43333333333334,106.83870967741936,74.25806451612904,75.07142857142857,251.67741935483872,189.46666666666667,152.93548387096774,116.80645161290323,120.64285714285714,160.80645161290323,95.2,59.67741935483871,29.677419354838708,31.964285714285715,0.7598609881574853,-0.6500855933462377,4.693627450980397,-0.22716718266254188,-190.06372549019636,116.27272727272727,57.45454545454545,165.54545454545453
Japan/Kagoshima,31.555,130.548055555556,3.9,1976,1976-04-01,92,24,23,35,19,32.0,0.0,0.0,0.0,13.0,8.0,10.0,8.0,13.0,215.90322580645162,151.03333333333333,90.2258064516129,64.19354838709677,110.13793103448276,258.48387096774195,202.0,138.58064516129033,117.25806451612904,160.27586206896552,177.19354838709677,104.63333333333334,46.38709677419355,16.35483870967742,58.41379310344828,0.7598609881574853,-0.6500855933462377,1.3227335800185012,-0.0844212338034196,37.36343663274746,101.27272727272727,60.72727272727273,150.54545454545453
Japan/Kagoshima,31.555,130.548055555556,3.9,1977,1977-03-26,85,8,8,50,38,30.0,0.0,-11.2143,0.0,10.0,9.0,10.0,7.0,7.0,192.90322580645162,131.06666666666666,93.0,50.29032258064516,60.107142857142854,244.09677419354838,181.2,141.93548387096774,93.54838709677419,110.32142857142857,145.0,77.53333333333333,44.354838709677416,12.451612903225806,8.964285714285714,0.7598609881574853,-0.6500855933462377,0.8721198156682023,0.05175469691598729,31.177803379416297,100.81818181818181,43.18181818181818,160.45454545454547
Japan/Kagoshima,31.555,130.548055555556,3.9,1978,1978-04-11,101,35,34,61,13,37.0,0.0,0.0,0.0,2.0,6.0,10.0,14.0,11.0,215.7741935483871,158.0,111.90322580645162,77.87096774193549,75.89285714285714,273.03225806451616,207.96666666666667,162.06451612903226,125.41935483870968,126.25,160.5483870967742,110.5,62.516129032258064,36.87096774193548,27.142857142857142,0.7598609881574853,-0.6500855933462377,0.9029601029601028,0.13828689370485014,42.98348348348347,109.63636363636364,56.18181818181818,155.8181818181818
Japan/Kagoshima,31.555,130.548055555556,3.9,1979,1979-04-05,95,26,26,27,7,45.0,0.0,0.0,0.0,7.0,4.0,10.0,13.0,9.0,202.06451612903226,150.76666666666668,104.3225806451613,87.03225806451613,100.14285714285714,248.8709677419355,206.23333333333332,162.2258064516129,141.74193548387098,146.17857142857142,156.90322580645162,99.33333333333333,50.483870967741936,38.0,56.75,0.7598609881574853,-0.6500855933462377,0.44637681159420345,0.005761637196785625,82.10724637681156,104.27272727272727,59.72727272727273,148.27272727272728
Japan/Kagoshima,31.555,130.548055555556,3.9,1980,1980-03-30,90,43,44,49,19,34.0,0.0,0.0,0.0,4.0,11.0,8.0,15.0,3.0,199.96774193548387,141.86666666666667,105.19354838709677,79.35483870967742,67.65517241379311,255.74193548387098,183.76666666666668,164.5483870967742,119.3225806451613,114.48275862068965,148.93548387096774,99.1,50.03225806451613,38.83870967741935,19.275862068965516,0.7598609881574853,-0.6500855933462377,3.0665024630541855,-0.06834449075828487,-77.1502463054186,121.18181818181819,73.54545454545455,157.0
Japan/Kagoshima,31.555,130.548055555556,3.9,1981,1981-03-28,87,8,6,9,32,18.0,0.0,0.0,0.0,12.0,2.0,13.0,10.0,13.0,200.58064516129033,154.76666666666668,70.58064516129032,53.483870967741936,84.89285714285714,244.96774193548387,208.7,119.87096774193549,101.12903225806451,128.10714285714286,157.5483870967742,101.4,28.548387096774192,7.096774193548387,41.32142857142857,0.7598609881574853,-0.6500855933462377,0.8343894009216584,-0.021636734057410956,42.85563876088072,93.0,41.45454545454545,140.72727272727272
Japan/Kagoshima,31.555,130.548055555556,3.9,1982,1982-03-28,87,29,29,31,12,25.0,0.0,0.0,0.0,13.0,11.0,5.0,9.0,11.0,197.41935483870967,133.56666666666666,90.16129032258064,68.2258064516129,86.42857142857143,246.03225806451613,179.36666666666667,146.16129032258064,119.03225806451613,131.92857142857142,155.83870967741936,90.0,39.61290322580645,20.419354838709676,39.785714285714285,0.7598609881574853,-0.6500855933462377,1.6518110363827896,-0.056025369978858174,6.2591632228614555,107.18181818181819,55.0,161.8181818181818
Japan/Kagoshima,31.555,130.548055555556,3.9,1983,1983-04-03,93,23,23,27,14,36.0,0.0,0.0,0.0,8.0,11.0,10.0,9.0,10.0,207.58064516129033,161.63333333333333,92.96774193548387,78.2258064516129,81.60714285714286,257.19354838709677,204.9,145.4516129032258,129.3548387096774,128.39285714285714,161.7741935483871,124.26666666666667,48.58064516129032,29.483870967741936,35.57142857142857,0.7598609881574853,-0.6500855933462377,0.45332175423360815,0.023514697275765373,65.33720509480389,105.27272727272727,59.90909090909091,150.1818181818182
Japan/Kagoshima,31.555,130.548055555556,3.9,1984,1984-03-31,91,39,39,39,27,14.0,39.2857,4.9286,75.2857,12.0,5.0,5.0,10.0,8.0,206.2258064516129,132.0,82.83870967741936,56.29032258064516,65.6896551724138,250.74193548387098,189.83333333333334,134.09677419354838,101.38709677419355,107.93103448275862,170.38709677419354,79.66666666666667,36.0,13.580645161290322,25.275862068965516,0.7598609881574853,-0.6500855933462377,0.2569648093841616,-0.11675219941348942,60.18291788856319,67.27272727272727,17.727272727272727,117.0
Japan/Kagoshima,31.555,130.548055555556,3.9,1985,1985-04-02,92,18,1,22,18,40.0,0.0,0.0,0.0,5.0,3.0,11.0,7.0,15.0,192.03225806451613,170.4,103.09677419354838,62.806451612903224,95.21428571428571,245.7741935483871,219.86666666666667,145.16129032258064,112.35483870967742,133.82142857142858,144.19354838709677,125.26666666666667,65.09677419354838,15.03225806451613,55.035714285714285,0.7598609881574853,-0.6500855933462377,0.9153362360909528,0.010759865365858795,52.838413159167835,121.54545454545455,83.0,159.45454545454547
Japan/Kagoshima,31.555,130.548055555556,3.9,1986,1986-03-30,89,14,14,15,27,20.0,0.0,0.0,0.0,9.0,14.0,10.0,13.0,8.0,210.2258064516129,136.33333333333334,85.16129032258064,60.064516129032256,66.57142857142857,258.64516129032256,187.86666666666667,132.03225806451613,104.38709677419355,114.78571428571429,164.1290322580645,89.4,42.483870967741936,19.64516129032258,24.642857142857142,0.7598609881574853,-0.6500855933462377,0.41074669432201155,0.038018342972355755,56.41530550514217,93.54545454545455,38.09090909090909,150.27272727272728
Japan/Kagoshima,31.555,130.548055555556,3.9,1987,1987-04-02,92,37,37,37,8,48.0,63.0714,17.7857,113.1429,7.0,5.0,13.0,9.0,6.0,181.38709677419354,144.0,110.09677419354838,82.74193548387096,93.89285714285714,231.32258064516128,188.4,162.29032258064515,132.58064516129033,139.53571428571428,134.61290322580646,101.7,57.225806451612904,35.45161290322581,47.107142857142854,0.7598609881574853,-0.6500855933462377,-0.7491214667685263,0.11432868601986326,142.57799847211626,101.27272727272727,50.63636363636363,152.0909090909091
Japan/Kagoshima,31.555,130.548055555556,3.9,1988,1988-04-08,99,50,51,52,9,36.0,0.0,0.0,0.0,11.0,10.0,9.0,11.0,12.0,217.7741935483871,161.33333333333334,97.87096774193549,93.80645161290323,87.6896551724138,260.61290322580646,205.4,153.96774193548387,140.90322580645162,128.79310344827587,180.61290322580646,123.56666666666666,47.03225806451613,49.774193548387096,43.758620689655174,0.7598609881574853,-0.6500855933462377,-2.5870129870129843,-0.3213468453742932,252.41125541125515,80.18181818181819,44.27272727272727,120.63636363636364
Japan/Kagoshima,31.555,130.548055555556,3.9,1989,1989-04-05,95,37,35,37,5,52.0,0.0,0.0,0.0,5.0,9.0,5.0,9.0,10.0,204.80645161290323,121.96666666666667,94.29032258064517,111.45161290322581,111.57142857142857,256.06451612903226,178.26666666666668,150.2258064516129,153.93548387096774,153.10714285714286,159.83870967741936,77.3,42.32258064516129,69.6774193548387,68.60714285714286,0.7598609881574853,-0.6500855933462377,-0.28800611153552386,-0.21474726254138093,132.32009167303292,109.0,67.9090909090909,157.54545454545453
Japan/Kagoshima,31.555,130.548055555556,3.9,1990,1990-03-29,88,27,26,28,6,63.0,0.0,0.0,0.0,5.0,8.0,4.0,7.0,9.0,198.61290322580646,148.4,103.3225806451613,80.7741935483871,126.57142857142857,253.67741935483872,200.36666666666667,159.19354838709677,125.06451612903226,164.11206823911334,147.96774193548387,103.43333333333334,55.70967741935484,25.95975086305049,75.17629160017562,0.7598609881574853,-0.6500855933462377,0.2794221282593375,-0.07050827500776821,108.74348132487674,114.9090909090909,54.671482692971786,167.36363636363637
Japan/Kagoshima,31.555,130.548055555556,3.9,1991,1991-04-05,95,60,16,18,11,37.0,0.0,0.0,0.0,7.0,3.0,7.0,5.0,8.0,206.61290322580646,164.93333333333334,97.19354838709677,82.35483870967742,81.57142857142857,254.70967741935485,216.93333333333334,146.96774193548387,127.32782264630887,130.4277902614121,155.45474048709534,108.42163202905427,38.48548009677646,30.317265656723947,25.662510144226587,0.7598609881574853,-0.6500855933462377,6.73636363636364,-0.9918414918415467,-302.5000000000002,135.36363636363637,70.78186244390051,184.49199547893875
Japan/Kagoshima,31.555,130.548055555556,3.9,1992,1992-04-03,94,53,53,54,3,46.0,0.0,0.0,0.0,4.0,5.0,8.0,7.0,3.0,199.0,146.16666666666666,116.3225806451613,93.64516129032258,85.20689655172414,241.61290322580646,200.9,164.74193548387098,139.88759791776445,130.41379310344828,148.76670032370978,88.32262189365507,59.64341353818508,41.029352114236666,30.305758294064287,0.7598609881574853,-0.6500855933462377,2.3157894736842164,-0.8901573787409854,-24.198830409357033,132.8181818181818,86.21389221370268,169.507420285204
Japan/Kagoshima,31.555,130.548055555556,3.9,1993,1993-04-10,100,29,29,34,10,46.0,0.0,0.0,0.0,2.0,5.0,8.0,11.0,6.0,198.5483870967742,152.4,110.29032258064517,90.2258064516129,94.42857142857143,249.5483870967742,201.86666666666667,160.26192243134471,132.27140354683283,143.55779486456268,143.09068204652368,92.8124806442904,54.818806292870995,39.41170085406371,33.88224217763817,0.7598609881574853,-0.6500855933462377,0.33481889636172196,-0.031871772583627216,76.47408367771381,95.9090909090909,29.664137775700862,152.54545454545453
Japan/Kagoshima,31.555,130.548055555556,3.9,1994,1994-04-04,94,31,31,31,5,37.0,63.9286,11.1981,113.3547,3.0,6.0,7.0,9.0,6.0,191.09677419354838,168.4,101.2258064516129,82.48387096774194,93.03571428571429,243.58064516129033,211.70941729162308,147.2394857656709,133.61180699378394,139.0413325795412,134.4213420960862,114.58657868907699,49.30764084340072,26.56875876784414,37.87086672944723,0.7598609881574853,-0.6500855933462377,0.605909943714821,0.040000916926462814,68.32654784240158,110.9090909090909,49.33058850420034,162.24180035983383
Japan/Kagoshima,31.555,130.548055555556,3.9,1995,1995-04-10,100,37,37,38,7,42.0,0.0,0.0,0.0,5.0,4.0,9.0,5.0,6.0,213.8709677419355,172.16666666666666,118.0,80.6774193548387,90.5,256.80645161290323,218.10508995674255,159.32389578984152,123.31521079980674,135.60714285714286,162.52897310999353,122.52057229559156,68.52136128743004,30.733432954212827,41.38788310799225,0.7598609881574853,-0.6500855933462377,0.41420932009167233,0.05050770308123309,76.33980137509562,101.9090909090909,44.10728698104747,148.0
